Datetime,Value,ID,Anomaly
2020-03-01 23:45,134.7807922,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 0:00,134.9719849,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 0:15,135.3829956,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 0:30,135.8262787,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 0:45,135.8773193,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 1:00,135.2880402,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 1:15,135.9066162,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 1:30,136.0673218,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 1:45,135.5553436,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 2:00,136.3686371,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 2:15,136.1784515,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 2:30,134.9246826,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 2:45,135.5384369,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 3:00,135.5770111,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 3:15,135.2596283,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 3:30,136.0051422,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 3:45,136.0469971,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 4:00,135.6726379,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 4:15,135.8743744,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 4:30,135.7105865,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 4:45,135.7403107,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 5:00,135.2845917,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 5:15,135.4959259,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 5:30,135.939682,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 5:45,135.5627441,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 6:00,136.2620239,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 6:15,135.6002655,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 6:30,136.0718689,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 6:45,135.9167938,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 7:00,136.3243103,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 7:15,135.1628571,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 7:30,135.7391663,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 7:45,136.0755157,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
2020-03-02 8:00,136.3868408,Campus Energy Centre Boiler B-2 Gas Pressure,FALSE
