Timestamp,Campus Energy Centre Fuel Oil Fuel Level
2021-03-31T23:45:00-07:00 Los_Angeles,977.4546508789062cm
2021-04-01T00:00:00-07:00 Los_Angeles,977.4546508789062cm
2021-04-01T00:15:00-07:00 Los_Angeles,976.9805297851562cm
2021-04-01T00:30:00-07:00 Los_Angeles,977.0081176757812cm
2021-04-01T00:45:00-07:00 Los_Angeles,977.259033203125cm
2021-04-01T01:00:00-07:00 Los_Angeles,978.0443725585938cm
2021-04-01T01:15:00-07:00 Los_Angeles,977.65869140625cm
2021-04-01T01:30:00-07:00 Los_Angeles,977.9515380859375cm
2021-04-01T01:45:00-07:00 Los_Angeles,977.3367919921875cm
2021-04-01T02:00:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T02:15:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T02:30:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T02:45:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T03:00:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T03:15:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T03:30:00-07:00 Los_Angeles,976.769287109375cm
2021-04-01T03:45:00-07:00 Los_Angeles,976.4408569335938cm
2021-04-01T04:00:00-07:00 Los_Angeles,976.247802734375cm
2021-04-01T04:15:00-07:00 Los_Angeles,976.00048828125cm
2021-04-01T04:30:00-07:00 Los_Angeles,976.0642700195312cm
2021-04-01T04:45:00-07:00 Los_Angeles,976.405029296875cm
2021-04-01T05:00:00-07:00 Los_Angeles,976.4497680664062cm
2021-04-01T05:15:00-07:00 Los_Angeles,976.4624633789062cm
2021-04-01T05:30:00-07:00 Los_Angeles,976.4072875976562cm
2021-04-01T05:45:00-07:00 Los_Angeles,975.9569702148438cm
2021-04-01T06:00:00-07:00 Los_Angeles,976.1304321289062cm
2021-04-01T06:15:00-07:00 Los_Angeles,976.171142578125cm
2021-04-01T06:30:00-07:00 Los_Angeles,975.8446044921875cm
2021-04-01T06:45:00-07:00 Los_Angeles,976.3812866210938cm
2021-04-01T07:00:00-07:00 Los_Angeles,976.7600708007812cm
2021-04-01T07:15:00-07:00 Los_Angeles,976.7349853515625cm
2021-04-01T07:30:00-07:00 Los_Angeles,976.6936645507812cm
2021-04-01T07:45:00-07:00 Los_Angeles,976.9274291992188cm
2021-04-01T08:00:00-07:00 Los_Angeles,976.9274291992188cm
2021-04-01T08:15:00-07:00 Los_Angeles,976.7845458984375cm
2021-04-01T08:30:00-07:00 Los_Angeles,976.0225830078125cm
2021-04-01T08:45:00-07:00 Los_Angeles,975.9290161132812cm
2021-04-01T09:00:00-07:00 Los_Angeles,976.0476684570312cm
2021-04-01T09:15:00-07:00 Los_Angeles,976.5419921875cm
2021-04-01T09:30:00-07:00 Los_Angeles,975.62109375cm
2021-04-01T09:45:00-07:00 Los_Angeles,975.6129760742188cm
2021-04-01T10:00:00-07:00 Los_Angeles,976.06787109375cm
2021-04-01T10:15:00-07:00 Los_Angeles,976.06787109375cm
2021-04-01T10:30:00-07:00 Los_Angeles,976.0914916992188cm
2021-04-01T10:45:00-07:00 Los_Angeles,976.0914916992188cm
2021-04-01T11:00:00-07:00 Los_Angeles,976.0914916992188cm
2021-04-01T11:15:00-07:00 Los_Angeles,976.4769897460938cm
2021-04-01T11:30:00-07:00 Los_Angeles,975.2313842773438cm
2021-04-01T11:45:00-07:00 Los_Angeles,975.1580810546875cm
2021-04-01T12:00:00-07:00 Los_Angeles,975.3926391601562cm
2021-04-01T12:15:00-07:00 Los_Angeles,975.2399291992188cm
2021-04-01T12:30:00-07:00 Los_Angeles,974.6295776367188cm
2021-04-01T12:45:00-07:00 Los_Angeles,975.0263061523438cm
2021-04-01T13:00:00-07:00 Los_Angeles,974.6636962890625cm
2021-04-01T13:15:00-07:00 Los_Angeles,974.0488891601562cm
2021-04-01T13:30:00-07:00 Los_Angeles,973.2970581054688cm
2021-04-01T13:45:00-07:00 Los_Angeles,972.9788208007812cm
2021-04-01T14:00:00-07:00 Los_Angeles,973.029296875cm
2021-04-01T14:15:00-07:00 Los_Angeles,973.134521484375cm
2021-04-01T14:30:00-07:00 Los_Angeles,972.8668212890625cm
2021-04-01T14:45:00-07:00 Los_Angeles,973.0579833984375cm
2021-04-01T15:00:00-07:00 Los_Angeles,973.6351928710938cm
2021-04-01T15:15:00-07:00 Los_Angeles,973.3590087890625cm
2021-04-01T15:30:00-07:00 Los_Angeles,973.0567016601562cm
2021-04-01T15:45:00-07:00 Los_Angeles,973.4182739257812cm
2021-04-01T16:00:00-07:00 Los_Angeles,973.9938354492188cm
2021-04-01T16:15:00-07:00 Los_Angeles,973.1644897460938cm
2021-04-01T16:30:00-07:00 Los_Angeles,972.9432983398438cm
2021-04-01T16:45:00-07:00 Los_Angeles,972.6094970703125cm
2021-04-01T17:00:00-07:00 Los_Angeles,973.3245849609375cm
2021-04-01T17:15:00-07:00 Los_Angeles,973.7432250976562cm
2021-04-01T17:30:00-07:00 Los_Angeles,973.103515625cm
2021-04-01T17:45:00-07:00 Los_Angeles,974.0399169921875cm
2021-04-01T18:00:00-07:00 Los_Angeles,974.0653686523438cm
2021-04-01T18:15:00-07:00 Los_Angeles,973.3419799804688cm
2021-04-01T18:30:00-07:00 Los_Angeles,974.0780029296875cm
2021-04-01T18:45:00-07:00 Los_Angeles,975.2601318359375cm
2021-04-01T19:00:00-07:00 Los_Angeles,975.2010498046875cm
2021-04-01T19:15:00-07:00 Los_Angeles,975.9553833007812cm
2021-04-01T19:30:00-07:00 Los_Angeles,975.193359375cm
2021-04-01T19:45:00-07:00 Los_Angeles,976.24755859375cm
2021-04-01T20:00:00-07:00 Los_Angeles,976.2235717773438cm
2021-04-01T20:15:00-07:00 Los_Angeles,976.2235717773438cm
2021-04-01T20:30:00-07:00 Los_Angeles,976.6040649414062cm
2021-04-01T20:45:00-07:00 Los_Angeles,977.2556762695312cm
2021-04-01T21:00:00-07:00 Los_Angeles,977.2556762695312cm
2021-04-01T21:15:00-07:00 Los_Angeles,977.2556762695312cm
2021-04-01T21:30:00-07:00 Los_Angeles,976.2715454101562cm
2021-04-01T21:45:00-07:00 Los_Angeles,977.0744018554688cm
2021-04-01T22:00:00-07:00 Los_Angeles,977.0744018554688cm
2021-04-01T22:15:00-07:00 Los_Angeles,977.0744018554688cm
2021-04-01T22:30:00-07:00 Los_Angeles,976.6433715820312cm
2021-04-01T22:45:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-01T23:00:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-01T23:15:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-01T23:30:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-01T23:45:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-02T00:00:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-02T00:15:00-07:00 Los_Angeles,977.4566040039062cm
2021-04-02T00:30:00-07:00 Los_Angeles,977.005126953125cm
2021-04-02T00:45:00-07:00 Los_Angeles,977.3391723632812cm
2021-04-02T01:00:00-07:00 Los_Angeles,977.3422241210938cm
2021-04-02T01:15:00-07:00 Los_Angeles,976.9389038085938cm
2021-04-02T01:30:00-07:00 Los_Angeles,977.7246704101562cm
2021-04-02T01:45:00-07:00 Los_Angeles,977.7093505859375cm
2021-04-02T02:00:00-07:00 Los_Angeles,976.9644775390625cm
2021-04-02T02:15:00-07:00 Los_Angeles,976.9644775390625cm
2021-04-02T02:30:00-07:00 Los_Angeles,977.052001953125cm
2021-04-02T02:45:00-07:00 Los_Angeles,977.052001953125cm
2021-04-02T03:00:00-07:00 Los_Angeles,977.0297241210938cm
2021-04-02T03:15:00-07:00 Los_Angeles,977.0223388671875cm
2021-04-02T03:30:00-07:00 Los_Angeles,976.9844970703125cm
2021-04-02T03:45:00-07:00 Los_Angeles,978.1329956054688cm
2021-04-02T04:00:00-07:00 Los_Angeles,977.6962890625cm
2021-04-02T04:15:00-07:00 Los_Angeles,977.9119873046875cm
2021-04-02T04:30:00-07:00 Los_Angeles,977.6586303710938cm
2021-04-02T04:45:00-07:00 Los_Angeles,977.6586303710938cm
2021-04-02T05:00:00-07:00 Los_Angeles,977.6586303710938cm
2021-04-02T05:15:00-07:00 Los_Angeles,977.4376220703125cm
2021-04-02T05:30:00-07:00 Los_Angeles,976.9668579101562cm
2021-04-02T05:45:00-07:00 Los_Angeles,977.4790649414062cm
2021-04-02T06:00:00-07:00 Los_Angeles,977.0501708984375cm
2021-04-02T06:15:00-07:00 Los_Angeles,977.0661010742188cm
2021-04-02T06:30:00-07:00 Los_Angeles,977.0106201171875cm
2021-04-02T06:45:00-07:00 Los_Angeles,977.0106201171875cm
2021-04-02T07:00:00-07:00 Los_Angeles,977.0106201171875cm
