Timestamp,Campus Energy Centre Campus HW Main Meter Flow
2021-04-01T01:51:00-07:00 Los_Angeles,110L/s
2021-04-01T01:52:00-07:00 Los_Angeles,115L/s
2021-04-01T01:53:00-07:00 Los_Angeles,110L/s
2021-04-01T01:54:00-07:00 Los_Angeles,115L/s
2021-04-01T01:55:00-07:00 Los_Angeles,110L/s
2021-04-01T01:57:09-07:00 Los_Angeles,115L/s
2021-04-01T01:58:09-07:00 Los_Angeles,110L/s
2021-04-01T01:59:09-07:00 Los_Angeles,115L/s
2021-04-01T02:00:00-07:00 Los_Angeles,120L/s
2021-04-01T02:01:00-07:00 Los_Angeles,115L/s
2021-04-01T02:02:00-07:00 Los_Angeles,110L/s
2021-04-01T02:04:55-07:00 Los_Angeles,115L/s
2021-04-01T02:05:56-07:00 Los_Angeles,110L/s
2021-04-01T02:07:17-07:00 Los_Angeles,105L/s
2021-04-01T02:08:17-07:00 Los_Angeles,110L/s
2021-04-01T02:09:17-07:00 Los_Angeles,115L/s
2021-04-01T02:10:00-07:00 Los_Angeles,115L/s
2021-04-01T02:11:00-07:00 Los_Angeles,110L/s
2021-04-01T02:12:20-07:00 Los_Angeles,115L/s
2021-04-01T02:13:20-07:00 Los_Angeles,110L/s
2021-04-01T02:14:20-07:00 Los_Angeles,115L/s
2021-04-01T02:15:20-07:00 Los_Angeles,110L/s
2021-04-01T02:16:33-07:00 Los_Angeles,115L/s
2021-04-01T02:17:33-07:00 Los_Angeles,110L/s
2021-04-01T02:18:34-07:00 Los_Angeles,115L/s
2021-04-01T02:19:34-07:00 Los_Angeles,110L/s
2021-04-01T02:20:00-07:00 Los_Angeles,105L/s
2021-04-01T02:21:00-07:00 Los_Angeles,110L/s
2021-04-01T02:22:00-07:00 Los_Angeles,115L/s
2021-04-01T02:23:00-07:00 Los_Angeles,105L/s
2021-04-01T02:24:00-07:00 Los_Angeles,110L/s
2021-04-01T02:25:00-07:00 Los_Angeles,115L/s
2021-04-01T02:26:00-07:00 Los_Angeles,110L/s
2021-04-01T02:27:00-07:00 Los_Angeles,115L/s
2021-04-01T02:28:00-07:00 Los_Angeles,105L/s
2021-04-01T02:29:00-07:00 Los_Angeles,110L/s
2021-04-01T02:30:00-07:00 Los_Angeles,115L/s
2021-04-01T02:31:00-07:00 Los_Angeles,110L/s
2021-04-01T02:32:00-07:00 Los_Angeles,115L/s
2021-04-01T02:33:22-07:00 Los_Angeles,109.72222137451172L/s
2021-04-01T02:34:22-07:00 Los_Angeles,115L/s
2021-04-01T02:35:23-07:00 Los_Angeles,120L/s
2021-04-01T02:36:23-07:00 Los_Angeles,115L/s
2021-04-01T02:37:23-07:00 Los_Angeles,110L/s
2021-04-01T02:38:23-07:00 Los_Angeles,115L/s
2021-04-01T02:39:23-07:00 Los_Angeles,110L/s
2021-04-01T02:40:00-07:00 Los_Angeles,120L/s
2021-04-01T02:41:00-07:00 Los_Angeles,110L/s
2021-04-01T02:42:06-07:00 Los_Angeles,115L/s
2021-04-01T02:43:06-07:00 Los_Angeles,110L/s
2021-04-01T02:44:06-07:00 Los_Angeles,115L/s
2021-04-01T02:45:06-07:00 Los_Angeles,110L/s
2021-04-01T02:46:06-07:00 Los_Angeles,105L/s
2021-04-01T02:47:23-07:00 Los_Angeles,110L/s
2021-04-01T02:49:24-07:00 Los_Angeles,105L/s
2021-04-01T02:50:00-07:00 Los_Angeles,110L/s
2021-04-01T02:51:45-07:00 Los_Angeles,105L/s
2021-04-01T02:52:46-07:00 Los_Angeles,110L/s
2021-04-01T02:53:56-07:00 Los_Angeles,115L/s
2021-04-01T02:54:56-07:00 Los_Angeles,110L/s
2021-04-01T02:55:56-07:00 Los_Angeles,115L/s
2021-04-01T02:56:57-07:00 Los_Angeles,110L/s
2021-04-01T02:58:09-07:00 Los_Angeles,105L/s
2021-04-01T02:59:09-07:00 Los_Angeles,110L/s
2021-04-01T03:00:00-07:00 Los_Angeles,110L/s
2021-04-01T03:01:00-07:00 Los_Angeles,105L/s
2021-04-01T03:02:00-07:00 Los_Angeles,110L/s
2021-04-01T03:03:00-07:00 Los_Angeles,115L/s
2021-04-01T03:04:03-07:00 Los_Angeles,110L/s
2021-04-01T03:06:25-07:00 Los_Angeles,115L/s
2021-04-01T03:07:25-07:00 Los_Angeles,110L/s
2021-04-01T03:08:26-07:00 Los_Angeles,105L/s
2021-04-01T03:09:26-07:00 Los_Angeles,110L/s
2021-04-01T03:10:00-07:00 Los_Angeles,110L/s
2021-04-01T03:11:07-07:00 Los_Angeles,115L/s
2021-04-01T03:12:07-07:00 Los_Angeles,110L/s
2021-04-01T03:13:38-07:00 Los_Angeles,105.27777862548828L/s
2021-04-01T03:14:38-07:00 Los_Angeles,115L/s
2021-04-01T03:15:38-07:00 Los_Angeles,110.55555725097656L/s
2021-04-01T03:16:38-07:00 Los_Angeles,105L/s
2021-04-01T03:17:38-07:00 Los_Angeles,110L/s
2021-04-01T03:18:41-07:00 Los_Angeles,105L/s
2021-04-01T03:19:41-07:00 Los_Angeles,110L/s
2021-04-01T03:20:00-07:00 Los_Angeles,110L/s
2021-04-01T03:21:22-07:00 Los_Angeles,115L/s
2021-04-01T03:22:22-07:00 Los_Angeles,120L/s
2021-04-01T03:23:33-07:00 Los_Angeles,110L/s
2021-04-01T03:24:33-07:00 Los_Angeles,105L/s
2021-04-01T03:25:33-07:00 Los_Angeles,110L/s
2021-04-01T03:26:33-07:00 Los_Angeles,105L/s
2021-04-01T03:28:05-07:00 Los_Angeles,110L/s
2021-04-01T03:29:16-07:00 Los_Angeles,105L/s
2021-04-01T03:30:00-07:00 Los_Angeles,110L/s
2021-04-01T03:31:00-07:00 Los_Angeles,115L/s
2021-04-01T03:32:00-07:00 Los_Angeles,110L/s
2021-04-01T03:33:00-07:00 Los_Angeles,105L/s
2021-04-01T03:34:09-07:00 Los_Angeles,110L/s
2021-04-01T03:35:09-07:00 Los_Angeles,105L/s
2021-04-01T03:36:09-07:00 Los_Angeles,110.55555725097656L/s
2021-04-01T03:39:01-07:00 Los_Angeles,115L/s
2021-04-01T03:40:00-07:00 Los_Angeles,110L/s
2021-04-01T03:41:00-07:00 Los_Angeles,105L/s
2021-04-01T03:42:23-07:00 Los_Angeles,110L/s
2021-04-01T03:43:23-07:00 Los_Angeles,105L/s
2021-04-01T03:44:23-07:00 Los_Angeles,110L/s
2021-04-01T03:45:23-07:00 Los_Angeles,115L/s
2021-04-01T03:46:24-07:00 Los_Angeles,110L/s
2021-04-01T03:47:26-07:00 Los_Angeles,105L/s
2021-04-01T03:48:26-07:00 Los_Angeles,110L/s
2021-04-01T03:49:26-07:00 Los_Angeles,105L/s
2021-04-01T03:50:00-07:00 Los_Angeles,110L/s
2021-04-01T03:51:00-07:00 Los_Angeles,105L/s
2021-04-01T03:52:00-07:00 Los_Angeles,115L/s
2021-04-01T03:53:19-07:00 Los_Angeles,110L/s
2021-04-01T03:55:09-07:00 Los_Angeles,115L/s
