Timestamp,Campus Energy Centre Campus HW Main Meter Energy
2020-01-01T00:00:00-08:00 Los_Angeles,265.8125MWh
2020-01-02T00:00:00-08:00 Los_Angeles,569.5MWh
2020-01-03T00:00:00-08:00 Los_Angeles,339.78125MWh
2020-01-04T00:00:00-08:00 Los_Angeles,398.5MWh
2020-01-05T00:00:00-08:00 Los_Angeles,424.40625MWh
2020-01-06T00:00:00-08:00 Los_Angeles,503.5MWh
2020-01-07T00:00:00-08:00 Los_Angeles,426.40625MWh
2020-01-08T00:00:00-08:00 Los_Angeles,535.90625MWh
2020-01-09T00:00:00-08:00 Los_Angeles,545.375MWh
2020-01-10T00:00:00-08:00 Los_Angeles,604.21875MWh
2020-01-11T00:00:00-08:00 Los_Angeles,502.5MWh
2020-01-12T00:00:00-08:00 Los_Angeles,574.59375MWh
2020-01-13T00:00:00-08:00 Los_Angeles,865.90625MWh
2020-01-14T00:00:00-08:00 Los_Angeles,953MWh
2020-01-15T00:00:00-08:00 Los_Angeles,856.90625MWh
2020-01-16T00:00:00-08:00 Los_Angeles,685MWh
2020-01-17T00:00:00-08:00 Los_Angeles,669.09375MWh
2020-01-18T00:00:00-08:00 Los_Angeles,516.09375MWh
2020-01-19T00:00:00-08:00 Los_Angeles,392.6875MWh
2020-01-20T00:00:00-08:00 Los_Angeles,419.90625MWh
2020-01-21T00:00:00-08:00 Los_Angeles,402.40625MWh
2020-01-22T00:00:00-08:00 Los_Angeles,446MWh
2020-01-23T00:00:00-08:00 Los_Angeles,328.59375MWh
2020-01-24T00:00:00-08:00 Los_Angeles,345.59375MWh
2020-01-25T00:00:00-08:00 Los_Angeles,327.90625MWh
2020-01-26T00:00:00-08:00 Los_Angeles,312MWh
2020-01-27T00:00:00-08:00 Los_Angeles,417.3125MWh
2020-01-28T00:00:00-08:00 Los_Angeles,408.59375MWh
2020-01-29T00:00:00-08:00 Los_Angeles,366.1875MWh
2020-01-30T00:00:00-08:00 Los_Angeles,414.90625MWh
2020-01-31T00:00:00-08:00 Los_Angeles,326.21875MWh
2020-02-01T00:00:00-08:00 Los_Angeles,347.375MWh
2020-02-02T00:00:00-08:00 Los_Angeles,489.3125MWh
2020-02-03T00:00:00-08:00 Los_Angeles,596.8125MWh
2020-02-04T00:00:00-08:00 Los_Angeles,656MWh
2020-02-05T00:00:00-08:00 Los_Angeles,580.375MWh
2020-02-06T00:00:00-08:00 Los_Angeles,499.3125MWh
2020-02-07T00:00:00-08:00 Los_Angeles,461.1875MWh
2020-02-08T00:00:00-08:00 Los_Angeles,379.3125MWh
2020-02-09T00:00:00-08:00 Los_Angeles,444MWh
2020-02-10T00:00:00-08:00 Los_Angeles,475.59375MWh
2020-02-11T00:00:00-08:00 Los_Angeles,451.59375MWh
2020-02-12T00:00:00-08:00 Los_Angeles,355.8125MWh
2020-02-13T00:00:00-08:00 Los_Angeles,415.90625MWh
2020-02-14T00:00:00-08:00 Los_Angeles,400.28125MWh
2020-02-15T00:00:00-08:00 Los_Angeles,400.21875MWh
